"Name","Tag","DisplayName","UserID","Joined Date","Roles"
"Koizumi","Koizumi#0437","Koizumi","User ID: 786868871331577856","Fri Dec 11 2020","MGA UTO-UTO, SSCT KAWATANS, GENSHIN IMPACTOS, BAHO AKO OTEN PROMISINGLY PROMISE, BIDLI, BAHOG BILAT, PALAUTOG, @everyone"
"Four","Four#3163","Four","User ID: 701824856278171648","Tue Dec 01 2020","MGA UTO-UTO, SSCT KAWATANS, GENSHIN IMPACTOS, Bots, Test Exclusive, Baby ni Dandy, BAHO AKO OTEN PROMISINGLY PROMISE, BIDLI, Ghoster, PALAUTOG, @everyone"
